Seed	Start_X	Start_Z	Portal_X	Portal_Z	Distance
5120775093868649429	-89	32	-1488	528	1509
-2156478954007298816	-135	39	-2160	560	2247
6305221795869319131	5	151	96	2432	2493
4629319784534440091	86	74	1360	1248	1857
-3808737067297014287	88	36	1440	544	1539
762698029464592342	151	-38	2464	-624	2161
-2871706869820665154	13	84	240	1360	1555
7795913272536890092	77	-142	1264	-2272	2600
-4326088074482290098	-43	84	-752	1328	1511
2275626029291072840	100	54	1632	880	1854
1065565104413272142	-88	-74	-1424	-1232	1709
652641313579319436	33	130	512	2048	2119
-2883528818834888946	-100	48	-1600	800	1789
-6234488416575080912	-112	5	-1840	16	1840
4674637255800557817	112	90	1776	1392	2264
2455207064437174574	88	90	1456	1440	2003
8966286225708634040	27	-92	448	-1424	1513
3273454821735793747	-4	-81	-48	-1248	1274
-3370480528541968521	-41	97	-704	1552	1704
3424325409253384483	-70	-56	-1152	-928	1479
-5405544610159715439	96	-43	1520	-736	1674
-3853210113598961879	110	71	1744	1088	2056
-9092303855112931112	47	-116	720	-1888	2022
-4351983772327932497	-52	-110	-816	-1792	1980
-380653325917157928	18	115	256	1792	1810
3895233045294685450	-31	149	-512	2432	2485
-5762454880624091218	65	-153	1040	-2416	2614
-7101149869857114454	-116	-109	-1920	-1760	2605
-7580501755194046848	161	-18	2528	-304	2489
4929090634758070035	11	-131	192	-2064	2073
-93267374690154458	111	30	1808	464	1867
-2886062093612528043	-162	-30	-2528	-480	2573
-7914049602594382282	39	-111	608	-1728	1822
5577608981102316717	14	-90	208	-1344	1434
-6646849257440668238	59	-124	992	-1968	2204
6264407924279269151	-139	7	-2176	112	2179
-1625054197943556408	-19	105	-320	1696	1720
3384637437558190748	-54	110	-896	1776	1682
-7433008867385538747	-153	-24	-2416	-352	2400
-4728034341195415351	91	126	1408	2016	2512
-4218564633349040767	64	-48	976	-784	1142
-8847702100332210265	91	-81	1424	-1264	1227
8722528895902589888	9	-162	112	-2640	2642
4625942084856358253	-58	-79	-912	-1312	1598
-8999135637798861108	-24	139	-400	2240	2230
-4578571128557474763	26	-86	368	-1392	1459
-584159734056439656	-30	102	-480	1664	1732
7798165072388980527	158	-53	2544	-880	2692
-3559350237885611436	-61	-69	-960	-1072	1439
-3760041896277388093	-47	-142	-752	-2224	2348
433372306758746709	24	-89	384	-1376	1482
7332886935890353276	-33	144	-544	2272	2336
-6901302636366481614	158	22	2464	384	2537
6583882022865588094	-94	-126	-1536	-2048	2455
4326734184624681070	37	96	560	1504	1548
-2086391684749998482	88	-74	1376	-1216	1836
-7592605179163218035	82	46	1344	704	1517
6852127675675855315	129	-24	2064	-336	2091
3278802846334203064	-92	-9	-1456	-176	1467
3992623387273736351	105	37	1648	560	1771
3995438137041002627	-43	-83	-704	-1392	1560
1142407773101899083	36	-116	544	-1872	1933
-8861775849147761660	-127	11	-2000	192	2009
1842717515158550926	-133	15	-2144	192	2338
-588100383713315785	146	-40	2288	-640	2376
2370201621517882396	-88	26	-1440	432	1503
3800375978188798633	-63	123	-1040	1936	2874
2807050785376961180	55	-107	880	-1648	1868
-110437348226326593	-90	74	-1392	1200	1850
4855907140857310813	-117	15	-1920	176	1820
-6937049958388258917	94	2	1520	16	2163
8030663403177599478	-79	-154	-1232	-2480	2555
-5645924240215846418	-4	-106	-16	-1696	1696
-3479692819450140236	-72	-134	-1104	-2160	2225
-6473460671743171083	4	-139	96	-2256	2193
-905604157427609342	-94	-19	-1456	-320	1645
6429915210629101376	3	112	16	1776	2196
